Name|Phone|Review Count|Foody Link|Category|District|City
123 - Vietnamese Cafe & Restaurant|(08)38291429|2|https://www.foody.vn/ho-chi-minh/123-vietnamese-cafe-restaurant|Nhà hàng|Quận 1|TP. HCM
Bánh Khọt Cô Ba Vũng Tàu - Cao Thắng|(08)38323312|154|https://www.foody.vn/ho-chi-minh/banh-khot-co-ba-vung-tau-cao-thang|Nhà hàng|Quận 3|TP. HCM
123 - Vietnamese Cafe & Restaurant|(08)38291429|2|https://www.foody.vn/ho-chi-minh/123-vietnamese-cafe-restaurant|Nhà hàng|Quận 1|TP. HCM
Bánh Khọt Cô Ba Vũng Tàu - Cao Thắng|(08)38323312|154|https://www.foody.vn/ho-chi-minh/banh-khot-co-ba-vung-tau-cao-thang|Nhà hàng|Quận 3|TP. HCM
